"Period","By province",Total Fertility Rate,Age-specific fertility rate:15-19,20-24 Years old,25-29 Years old,30-34 Years old,35-39 Years old,40-44 Years old,45-49 Years old
"1997","Whole country",1.537,3.2,54.7,160.5,72.3,15.9,2.5,0.2
"1998","Whole country",1.464,3.0,48.8,152.8,71.9,15.7,2.5,0.2
"1999","Whole country",1.425,2.8,43.8,147.9,73.0,15.7,2.6,0.3
"2000","Whole country",1.480,2.6,39.2,150.3,84.1,17.6,2.7,0.2
"2001","Whole country",1.309,2.4,31.7,129.8,78.1,17.3,2.6,0.2
"2002","Whole country",1.178,2.7,26.8,111.4,75.0,16.9,2.5,0.2
"2003","Whole country",1.191,2.5,23.9,112.2,79.7,17.4,2.6,0.2
"2004","Whole country",1.164,2.4,20.8,105.0,83.7,18.6,2.6,0.2
"2005","Whole country",1.085,2.2,18.0,92.1,82.1,19.0,2.5,0.2
"2006","Whole country",1.132,2.2,17.8,89.9,90.0,21.5,2.7,0.2
"2007","Whole country",1.259,2.3,19.7,95.9,102.0,25.9,3.1,0.2
"2008","Whole country",1.192,1.7,18.2,85.6,101.5,26.5,3.2,0.2
"2009","Whole country",1.149,1.7,16.5,80.4,100.8,27.3,3.4,0.2
"2010","Whole country",1.226,1.8,16.5,79.7,112.4,32.6,4.1,0.2
"2011","Whole country",1.244,1.8,16.4,78.4,114.4,35.4,4.6,0.2
"2012","Whole country",1.297,1.8,16.0,77.4,121.9,39.0,4.9,0.2
"2013","Whole country",1.187,1.7,14.0,65.9,111.4,39.5,4.8,0.1
"2014","Whole country",1.205,1.6,13.1,63.4,113.8,43.2,5.2,0.1
"2015","Whole country",1.239,1.4,12.5,63.1,116.7,48.3,5.6,0.2
"2016","Whole country",1.172,1.3,11.5,56.4,110.1,48.7,5.9,0.2
"2017","Whole country",1.052,1.0,9.6,47.9,97.7,47.2,6.0,0.2
"2018","Whole country",0.977,0.9,8.2,41.0,91.4,46.1,6.4,0.2
"2019","Whole country",0.918,0.8,7.1,35.7,86.2,45.0,7.0,0.2
"2020","Whole country",0.837,0.7,6.2,30.6,78.9,42.3,7.1,0.2
"2021","Whole country",0.808,0.4,5.0,27.5,76.1,43.5,7.6,0.2
