"전출지별","전입지별","성별","연령별","항목","단위","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년",
"서울특별시","서울특별시","남자","0 - 4세","이동자수[명]","명","28712","28771","30198","28262","26146","23614","21142","20108","21929","16948",
"서울특별시","서울특별시","남자","5 - 9세","이동자수[명]","명","23563","23047","23513","22188","20691","19723","18178","17800","20200","17197",
"서울특별시","서울특별시","남자","10 - 14세","이동자수[명]","명","29111","26968","26028","24938","21437","19468","17889","17377","18105","16580",
"서울특별시","서울특별시","남자","15 - 19세","이동자수[명]","명","32263","31255","30925","31431","27494","25334","21752","19771","19923","17217",
"서울특별시","서울특별시","남자","20 - 24세","이동자수[명]","명","31335","31818","34865","38523","36357","35348","33230","30863","34544","31264",
"서울특별시","서울특별시","남자","25 - 29세","이동자수[명]","명","56815","52495","52926","55121","53470","55598","59117","62028","68770","65764",
"서울특별시","서울특별시","남자","30 - 34세","이동자수[명]","명","77441","77681","79358","76912","70450","65947","62953","61913","70472","63906",
"서울특별시","서울특별시","남자","35 - 39세","이동자수[명]","명","56069","53723","55517","56813","55930","55164","54526","53681","59191","49850",
"서울특별시","서울특별시","남자","40 - 44세","이동자수[명]","명","48462","48419","49328","49082","44033","40275","36757","35356","41419","37119",
"서울특별시","서울특별시","남자","45 - 49세","이동자수[명]","명","39201","38650","40866","43567","41540","40234","38278","36503","38892","33077",
"서울특별시","서울특별시","남자","50 - 54세","이동자수[명]","명","35653","35151","36885","38998","35654","33718","31792","30523","34453","31747",
"서울특별시","서울특별시","남자","55 - 59세","이동자수[명]","명","24574","25735","29138","32688","31658","30330","28967","26674","29682","25908",
"서울특별시","서울특별시","남자","60 - 64세","이동자수[명]","명","15600","16018","18174","21584","21994","21979","21772","21443","24805","23064",
"서울특별시","서울특별시","남자","65 - 69세","이동자수[명]","명","10889","11514","13307","14788","14257","13583","13414","12912","15417","15231",
"서울특별시","서울특별시","남자","70 - 74세","이동자수[명]","명","7391","8048","9168","10110","9526","9077","8945","8641","9967","9450",
"서울특별시","서울특별시","남자","75 - 79세","이동자수[명]","명","3684","4193","4879","5821","5851","6107","6225","5624","6233","5893",
"서울특별시","서울특별시","남자","80세이상","이동자수[명]","명","2847","3071","3506","4274","4326","4180","4657","4195","5002","5030",
"서울특별시","서울특별시","여자","0 - 4세","이동자수[명]","명","27466","27108","28281","26632","24874","22629","20014","18646","20484","15644",
"서울특별시","서울특별시","여자","5 - 9세","이동자수[명]","명","22428","22056","22312","21161","19623","18364","17006","16798","19266","16368",
"서울특별시","서울특별시","여자","10 - 14세","이동자수[명]","명","26451","24604","24035","22591","19443","17773","16397","15726","16814","15064",
"서울특별시","서울특별시","여자","15 - 19세","이동자수[명]","명","30307","29549","29602","30089","26576","24181","21604","19342","20051","17184",
"서울특별시","서울특별시","여자","20 - 24세","이동자수[명]","명","36630","36508","39767","43005","41602","40858","40395","41293","47526","44855",
"서울특별시","서울특별시","여자","25 - 29세","이동자수[명]","명","66393","60539","60626","61639","59823","61451","64931","68532","79473","74651",
"서울특별시","서울특별시","여자","30 - 34세","이동자수[명]","명","75590","74713","77721","74346","68766","64347","61597","61491","70472","62510",
"서울특별시","서울특별시","여자","35 - 39세","이동자수[명]","명","52886","51121","52705","53626","52405","52280","50807","50237","56263","46681",
"서울특별시","서울특별시","여자","40 - 44세","이동자수[명]","명","50127","49475","50238","50666","44975","41628","37676","35577","40992","36844",
"서울특별시","서울특별시","여자","45 - 49세","이동자수[명]","명","38950","38624","41480","45091","42850","41803","39143","36462","39118","33261",
"서울특별시","서울특별시","여자","50 - 54세","이동자수[명]","명","36669","36516","37884","40101","35831","33472","31832","30067","34461","31511",
"서울특별시","서울특별시","여자","55 - 59세","이동자수[명]","명","25876","27416","30739","34376","33272","31614","29839","26546","29437","25552",
"서울특별시","서울특별시","여자","60 - 64세","이동자수[명]","명","16815","17223","19260","22565","23356","23077","22910","22314","25761","24198",
"서울특별시","서울특별시","여자","65 - 69세","이동자수[명]","명","12621","12967","14499","16032","15991","14901","14972","13781","16843","17126",
"서울특별시","서울특별시","여자","70 - 74세","이동자수[명]","명","10161","10616","11418","11985","11604","11042","10844","10038","11639","10960",
"서울특별시","서울특별시","여자","75 - 79세","이동자수[명]","명","7425","7709","8323","9064","8818","8648","8633","7818","8603","7901",
"서울특별시","서울특별시","여자","80세이상","이동자수[명]","명","8895","9707","10552","11460","11292","11060","11382","10547","11906","11509",
"서울특별시","부산광역시","남자","0 - 4세","이동자수[명]","명","393","420","415","371","349","340","262","235","226","180",
"서울특별시","부산광역시","남자","5 - 9세","이동자수[명]","명","248","232","268","268","175","176","177","159","145","121",
"서울특별시","부산광역시","남자","10 - 14세","이동자수[명]","명","221","187","176","207","133","116","100","119","111","87",
"서울특별시","부산광역시","남자","15 - 19세","이동자수[명]","명","347","337","341","355","322","313","271","286","262","231",
"서울특별시","부산광역시","남자","20 - 24세","이동자수[명]","명","860","919","994","987","976","970","868","823","914","874",
"서울특별시","부산광역시","남자","25 - 29세","이동자수[명]","명","1751","1652","1681","1692","1477","1565","1451","1535","1373","1431",
"서울특별시","부산광역시","남자","30 - 34세","이동자수[명]","명","1394","1457","1556","1458","1234","1054","950","912","890","969",
"서울특별시","부산광역시","남자","35 - 39세","이동자수[명]","명","823","832","914","844","859","797","755","705","680","614",
"서울특별시","부산광역시","남자","40 - 44세","이동자수[명]","명","733","714","751","768","607","522","460","475","470","463",
"서울특별시","부산광역시","남자","45 - 49세","이동자수[명]","명","453","430","543","537","482","472","426","435","407","401",
"서울특별시","부산광역시","남자","50 - 54세","이동자수[명]","명","377","373","424","395","343","351","300","283","369","331",
"서울특별시","부산광역시","남자","55 - 59세","이동자수[명]","명","288","325","367","305","307","343","279","237","265","253",
"서울특별시","부산광역시","남자","60 - 64세","이동자수[명]","명","205","190","190","206","198","190","149","194","218","232",
"서울특별시","부산광역시","남자","65 - 69세","이동자수[명]","명","136","135","158","142","119","137","109","100","130","128",
"서울특별시","부산광역시","남자","70 - 74세","이동자수[명]","명","68","90","109","108","74","74","83","57","69","71",
"서울특별시","부산광역시","남자","75 - 79세","이동자수[명]","명","46","56","51","65","45","57","56","48","57","42",
"서울특별시","부산광역시","남자","80세이상","이동자수[명]","명","41","38","43","47","45","42","42","33","42","61",
"서울특별시","부산광역시","여자","0 - 4세","이동자수[명]","명","343","413","394","358","327","323","256","218","206","163",
"서울특별시","부산광역시","여자","5 - 9세","이동자수[명]","명","220","207","219","224","191","157","149","160","160","127",
"서울특별시","부산광역시","여자","10 - 14세","이동자수[명]","명","245","170","198","163","138","89","120","131","125","89",
"서울특별시","부산광역시","여자","15 - 19세","이동자수[명]","명","258","259","292","321","271","227","238","240","218","170",
"서울특별시","부산광역시","여자","20 - 24세","이동자수[명]","명","803","788","919","983","927","910","883","859","1066","1125",
"서울특별시","부산광역시","여자","25 - 29세","이동자수[명]","명","1421","1362","1355","1357","1259","1221","1130","1147","1256","1418",
"서울특별시","부산광역시","여자","30 - 34세","이동자수[명]","명","1235","1276","1471","1334","1140","994","882","763","819","830",
"서울특별시","부산광역시","여자","35 - 39세","이동자수[명]","명","696","741","776","791","725","748","660","623","616","600",
"서울특별시","부산광역시","여자","40 - 44세","이동자수[명]","명","469","529","518","583","449","398","381","418","407","402",
"서울특별시","부산광역시","여자","45 - 49세","이동자수[명]","명","363","350","416","446","402","384","339","360","335","307",
"서울특별시","부산광역시","여자","50 - 54세","이동자수[명]","명","452","404","389","362","311","328","262","255","298","301",
"서울특별시","부산광역시","여자","55 - 59세","이동자수[명]","명","392","339","443","408","382","329","308","281","269","246",
"서울특별시","부산광역시","여자","60 - 64세","이동자수[명]","명","257","277","268","281","263","294","254","225","264","250",
"서울특별시","부산광역시","여자","65 - 69세","이동자수[명]","명","165","196","199","205","169","190","147","154","174","178",
"서울특별시","부산광역시","여자","70 - 74세","이동자수[명]","명","122","148","168","143","127","112","124","109","131","133",
"서울특별시","부산광역시","여자","75 - 79세","이동자수[명]","명","121","116","127","122","81","102","86","80","98","77",
"서울특별시","부산광역시","여자","80세이상","이동자수[명]","명","189","191","187","173","155","159","136","146","139","173",
"서울특별시","대구광역시","남자","0 - 4세","이동자수[명]","명","248","258","219","248","224","206","155","129","115","102",
"서울특별시","대구광역시","남자","5 - 9세","이동자수[명]","명","164","166","150","152","124","114","121","79","112","75",
"서울특별시","대구광역시","남자","10 - 14세","이동자수[명]","명","139","144","136","101","98","88","64","86","48","53",
"서울특별시","대구광역시","남자","15 - 19세","이동자수[명]","명","249","244","220","232","187","171","188","178","157","165",
"서울특별시","대구광역시","남자","20 - 24세","이동자수[명]","명","593","621","587","680","653","616","625","607","687","581",
"서울특별시","대구광역시","남자","25 - 29세","이동자수[명]","명","991","987","1022","1062","1144","1062","1025","981","992","1034",
"서울특별시","대구광역시","남자","30 - 34세","이동자수[명]","명","871","866","891","836","766","607","592","571","669","593",
"서울특별시","대구광역시","남자","35 - 39세","이동자수[명]","명","535","532","498","524","491","451","412","417","401","360",
"서울특별시","대구광역시","남자","40 - 44세","이동자수[명]","명","383","457","429","446","379","319","282","235","306","303",
"서울특별시","대구광역시","남자","45 - 49세","이동자수[명]","명","298","347","366","308","305","296","277","264","286","242",
"서울특별시","대구광역시","남자","50 - 54세","이동자수[명]","명","248","293","267","273","236","203","196","180","242","225",
"서울특별시","대구광역시","남자","55 - 59세","이동자수[명]","명","186","212","200","196","202","159","173","138","153","143",
"서울특별시","대구광역시","남자","60 - 64세","이동자수[명]","명","122","133","101","114","120","137","104","130","146","124",
"서울특별시","대구광역시","남자","65 - 69세","이동자수[명]","명","73","80","69","63","60","70","79","52","92","77",
"서울특별시","대구광역시","남자","70 - 74세","이동자수[명]","명","62","86","60","55","48","43","46","53","50","41",
"서울특별시","대구광역시","남자","75 - 79세","이동자수[명]","명","36","39","36","29","28","32","30","27","31","25",
"서울특별시","대구광역시","남자","80세이상","이동자수[명]","명","32","35","36","28","38","33","41","24","39","39",
"서울특별시","대구광역시","여자","0 - 4세","이동자수[명]","명","212","292","225","240","227","176","162","131","133","93",
"서울특별시","대구광역시","여자","5 - 9세","이동자수[명]","명","159","166","136","139","122","125","99","80","87","83",
"서울특별시","대구광역시","여자","10 - 14세","이동자수[명]","명","109","145","116","98","92","78","70","58","56","51",
"서울특별시","대구광역시","여자","15 - 19세","이동자수[명]","명","179","164","169","155","150","163","127","125","124","154",
"서울특별시","대구광역시","여자","20 - 24세","이동자수[명]","명","507","509","533","633","600","594","619","584","834","834",
"서울특별시","대구광역시","여자","25 - 29세","이동자수[명]","명","813","803","793","835","824","834","787","780","803","869",
"서울특별시","대구광역시","여자","30 - 34세","이동자수[명]","명","726","763","742","695","672","558","527","438","468","472",
"서울특별시","대구광역시","여자","35 - 39세","이동자수[명]","명","438","441","412","466","417","398","375","363","367","315",
"서울특별시","대구광역시","여자","40 - 44세","이동자수[명]","명","323","337","320","295","275","264","221","219","226","219",
"서울특별시","대구광역시","여자","45 - 49세","이동자수[명]","명","257","306","265","245","210","238","204","204","202","187",
"서울특별시","대구광역시","여자","50 - 54세","이동자수[명]","명","285","284","250","253","202","183","181","164","177","193",
"서울특별시","대구광역시","여자","55 - 59세","이동자수[명]","명","265","256","193","261","216","176","165","157","196","162",
"서울특별시","대구광역시","여자","60 - 64세","이동자수[명]","명","188","217","180","178","167","158","152","132","182","162",
"서울특별시","대구광역시","여자","65 - 69세","이동자수[명]","명","131","133","117","98","100","95","113","107","132","114",
"서울특별시","대구광역시","여자","70 - 74세","이동자수[명]","명","96","115","105","75","72","68","65","68","90","80",
"서울특별시","대구광역시","여자","75 - 79세","이동자수[명]","명","109","84","89","63","59","58","55","52","64","60",
"서울특별시","대구광역시","여자","80세이상","이동자수[명]","명","108","116","130","115","115","118","114","84","125","120",
"서울특별시","인천광역시","남자","0 - 4세","이동자수[명]","명","1680","1589","1320","1327","1193","1044","959","794","723","808",
"서울특별시","인천광역시","남자","5 - 9세","이동자수[명]","명","925","826","724","702","668","583","615","539","552","617",
"서울특별시","인천광역시","남자","10 - 14세","이동자수[명]","명","774","658","642","560","517","422","457","372","410","426",
"서울특별시","인천광역시","남자","15 - 19세","이동자수[명]","명","956","840","758","740","762","610","581","545","610","597",
"서울특별시","인천광역시","남자","20 - 24세","이동자수[명]","명","1482","1423","1380","1512","1654","1587","1609","1699","1755","1803",
"서울특별시","인천광역시","남자","25 - 29세","이동자수[명]","명","3248","2893","2676","2781","2812","2852","3079","3269","3372","3716",
"서울특별시","인천광역시","남자","30 - 34세","이동자수[명]","명","4447","4434","3960","3835","3696","3277","3063","2727","2880","3490",
"서울특별시","인천광역시","남자","35 - 39세","이동자수[명]","명","3339","3065","2697","2841","2669","2661","2736","2505","2353","2695",
"서울특별시","인천광역시","남자","40 - 44세","이동자수[명]","명","2273","2262","2078","2079","2043","1775","1713","1575","1691","1962",
"서울특별시","인천광역시","남자","45 - 49세","이동자수[명]","명","1618","1508","1465","1618","1635","1506","1555","1444","1443","1472",
"서울특별시","인천광역시","남자","50 - 54세","이동자수[명]","명","1455","1466","1316","1351","1347","1162","1209","1218","1195","1363",
"서울특별시","인천광역시","남자","55 - 59세","이동자수[명]","명","1092","1155","1079","1196","1134","1124","1235","1015","1064","1078",
"서울특별시","인천광역시","남자","60 - 64세","이동자수[명]","명","783","787","758","878","859","859","898","873","918","1079",
"서울특별시","인천광역시","남자","65 - 69세","이동자수[명]","명","585","595","553","615","569","551","570","524","601","680",
"서울특별시","인천광역시","남자","70 - 74세","이동자수[명]","명","412","395","383","463","405","411","430","320","399","456",
"서울특별시","인천광역시","남자","75 - 79세","이동자수[명]","명","220","256","249","304","268","284","292","261","249","281",
"서울특별시","인천광역시","남자","80세이상","이동자수[명]","명","146","189","145","216","212","217","255","226","189","276",
"서울특별시","인천광역시","여자","0 - 4세","이동자수[명]","명","1608","1471","1272","1300","1153","991","925","749","692","774",
"서울특별시","인천광역시","여자","5 - 9세","이동자수[명]","명","864","834","671","693","633","576","551","514","501","624",
"서울특별시","인천광역시","여자","10 - 14세","이동자수[명]","명","771","638","518","491","455","386","398","357","352","425",
"서울특별시","인천광역시","여자","15 - 19세","이동자수[명]","명","784","742","658","709","710","597","583","535","532","506",
"서울특별시","인천광역시","여자","20 - 24세","이동자수[명]","명","1631","1631","1470","1739","1809","1747","1831","1954","2214","2190",
"서울특별시","인천광역시","여자","25 - 29세","이동자수[명]","명","3405","3016","2793","2718","2732","2730","2905","2932","3151","3662",
"서울특별시","인천광역시","여자","30 - 34세","이동자수[명]","명","4014","4000","3574","3396","3165","2725","2647","2438","2565","3085",
"서울특별시","인천광역시","여자","35 - 39세","이동자수[명]","명","2407","2204","2054","2176","2155","2089","2130","1927","1913","2136",
"서울특별시","인천광역시","여자","40 - 44세","이동자수[명]","명","1687","1655","1551","1589","1449","1276","1348","1201","1305","1491",
"서울특별시","인천광역시","여자","45 - 49세","이동자수[명]","명","1319","1233","1193","1316","1332","1212","1275","1221","1188","1241",
"서울특별시","인천광역시","여자","50 - 54세","이동자수[명]","명","1558","1429","1282","1288","1226","1081","1140","1041","1057","1204",
"서울특별시","인천광역시","여자","55 - 59세","이동자수[명]","명","1228","1279","1174","1305","1332","1178","1143","1053","1026","1122",
"서울특별시","인천광역시","여자","60 - 64세","이동자수[명]","명","886","890","767","961","974","965","957","857","959","1165",
"서울특별시","인천광역시","여자","65 - 69세","이동자수[명]","명","625","648","635","656","661","602","618","544","705","767",
"서울특별시","인천광역시","여자","70 - 74세","이동자수[명]","명","520","497","480","555","567","473","470","402","436","526",
"서울특별시","인천광역시","여자","75 - 79세","이동자수[명]","명","381","410","390","425","393","378","430","361","322","408",
"서울특별시","인천광역시","여자","80세이상","이동자수[명]","명","517","506","547","580","556","554","626","579","553","734",
"서울특별시","광주광역시","남자","0 - 4세","이동자수[명]","명","230","247","198","219","178","163","110","104","101","68",
"서울특별시","광주광역시","남자","5 - 9세","이동자수[명]","명","147","137","133","147","129","109","67","74","76","60",
"서울특별시","광주광역시","남자","10 - 14세","이동자수[명]","명","146","127","108","127","108","96","45","50","41","45",
"서울특별시","광주광역시","남자","15 - 19세","이동자수[명]","명","230","228","234","232","186","172","145","150","148","108",
"서울특별시","광주광역시","남자","20 - 24세","이동자수[명]","명","589","504","624","541","584","555","510","533","531","540",
"서울특별시","광주광역시","남자","25 - 29세","이동자수[명]","명","953","864","864","827","814","800","839","871","767","784",
"서울특별시","광주광역시","남자","30 - 34세","이동자수[명]","명","749","740","780","651","590","541","445","416","440","457",
"서울특별시","광주광역시","남자","35 - 39세","이동자수[명]","명","550","484","486","460","427","377","337","310","298","304",
"서울특별시","광주광역시","남자","40 - 44세","이동자수[명]","명","412","383","419","415","330","319","253","217","242","230",
"서울특별시","광주광역시","남자","45 - 49세","이동자수[명]","명","317","278","336","315","272","249","250","243","246","211",
"서울특별시","광주광역시","남자","50 - 54세","이동자수[명]","명","304","245","287","268","207","206","180","175","186","189",
"서울특별시","광주광역시","남자","55 - 59세","이동자수[명]","명","190","144","182","188","192","164","185","148","169","138",
"서울특별시","광주광역시","남자","60 - 64세","이동자수[명]","명","149","125","120","114","113","106","124","109","141","150",
"서울특별시","광주광역시","남자","65 - 69세","이동자수[명]","명","91","90","110","102","82","81","88","62","84","77",
"서울특별시","광주광역시","남자","70 - 74세","이동자수[명]","명","81","68","78","59","55","47","47","61","61","55",
"서울특별시","광주광역시","남자","75 - 79세","이동자수[명]","명","38","34","60","40","36","36","45","38","37","40",
"서울특별시","광주광역시","남자","80세이상","이동자수[명]","명","38","33","21","42","34","29","39","31","21","36",
"서울특별시","광주광역시","여자","0 - 4세","이동자수[명]","명","227","235","226","223","192","177","132","102","96","77",
"서울특별시","광주광역시","여자","5 - 9세","이동자수[명]","명","129","148","156","134","128","100","71","73","74","63",
"서울특별시","광주광역시","여자","10 - 14세","이동자수[명]","명","143","116","122","99","85","62","56","57","41","42",
"서울특별시","광주광역시","여자","15 - 19세","이동자수[명]","명","228","153","183","174","150","172","124","127","112","117",
"서울특별시","광주광역시","여자","20 - 24세","이동자수[명]","명","477","455","521","549","488","543","585","563","665","752",
"서울특별시","광주광역시","여자","25 - 29세","이동자수[명]","명","750","679","680","686","673","613","634","654","704","713",
"서울특별시","광주광역시","여자","30 - 34세","이동자수[명]","명","655","621","660","637","510","484","433","397","370","410",
"서울특별시","광주광역시","여자","35 - 39세","이동자수[명]","명","404","419","402","411","358","338","293","278","285","251",
"서울특별시","광주광역시","여자","40 - 44세","이동자수[명]","명","339","256","296","296","252","247","189","183","174","173",
"서울특별시","광주광역시","여자","45 - 49세","이동자수[명]","명","236","212","266","254","239","208","209","168","192","164",
"서울특별시","광주광역시","여자","50 - 54세","이동자수[명]","명","300","246","261","233","164","179","181","156","176","173",
"서울특별시","광주광역시","여자","55 - 59세","이동자수[명]","명","278","200","249","205","232","196","206","148","178","170",
"서울특별시","광주광역시","여자","60 - 64세","이동자수[명]","명","200","190","193","157","166","162","156","140","160","172",
"서울특별시","광주광역시","여자","65 - 69세","이동자수[명]","명","174","129","134","113","111","107","120","107","118","113",
"서울특별시","광주광역시","여자","70 - 74세","이동자수[명]","명","118","107","117","100","75","89","74","77","91","93",
"서울특별시","광주광역시","여자","75 - 79세","이동자수[명]","명","106","92","120","65","71","73","67","75","55","55",
"서울특별시","광주광역시","여자","80세이상","이동자수[명]","명","176","140","133","133","123","132","139","117","98","115",
"서울특별시","대전광역시","남자","0 - 4세","이동자수[명]","명","476","433","392","354","338","287","252","178","166","151",
"서울특별시","대전광역시","남자","5 - 9세","이동자수[명]","명","258","241","219","209","167","161","112","117","128","87",
"서울특별시","대전광역시","남자","10 - 14세","이동자수[명]","명","210","200","190","135","131","132","124","102","88","78",
"서울특별시","대전광역시","남자","15 - 19세","이동자수[명]","명","379","343","348","385","314","333","346","276","234","206",
"서울특별시","대전광역시","남자","20 - 24세","이동자수[명]","명","677","713","730","809","827","741","840","832","883","920",
"서울특별시","대전광역시","남자","25 - 29세","이동자수[명]","명","1288","1196","1259","1308","1376","1325","1331","1296","1339","1421",
"서울특별시","대전광역시","남자","30 - 34세","이동자수[명]","명","1181","1193","1207","1122","1098","948","892","798","829","886",
"서울특별시","대전광역시","남자","35 - 39세","이동자수[명]","명","834","774","701","751","661","646","572","492","490","458",
"서울특별시","대전광역시","남자","40 - 44세","이동자수[명]","명","553","547","570","518","422","396","384","311","366","332",
"서울특별시","대전광역시","남자","45 - 49세","이동자수[명]","명","405","384","329","381","427","378","360","350","309","303",
"서울특별시","대전광역시","남자","50 - 54세","이동자수[명]","명","385","311","332","299","302","270","273","263","286","274",
"서울특별시","대전광역시","남자","55 - 59세","이동자수[명]","명","229","272","224","264","255","215","234","203","207","198",
"서울특별시","대전광역시","남자","60 - 64세","이동자수[명]","명","151","127","162","159","140","166","150","160","182","185",
"서울특별시","대전광역시","남자","65 - 69세","이동자수[명]","명","99","93","97","116","99","77","91","86","92","109",
"서울특별시","대전광역시","남자","70 - 74세","이동자수[명]","명","62","71","71","73","68","63","60","36","74","62",
"서울특별시","대전광역시","남자","75 - 79세","이동자수[명]","명","36","37","54","53","43","58","51","46","36","52",
"서울특별시","대전광역시","남자","80세이상","이동자수[명]","명","40","46","34","49","42","63","51","43","48","46",
"서울특별시","대전광역시","여자","0 - 4세","이동자수[명]","명","424","432","375","389","296","247","237","193","156","126",
"서울특별시","대전광역시","여자","5 - 9세","이동자수[명]","명","245","232","241","211","171","153","146","123","118","94",
"서울특별시","대전광역시","여자","10 - 14세","이동자수[명]","명","194","173","148","118","89","105","94","79","70","56",
"서울특별시","대전광역시","여자","15 - 19세","이동자수[명]","명","267","243","245","213","202","243","223","219","214","163",
"서울특별시","대전광역시","여자","20 - 24세","이동자수[명]","명","656","720","696","779","790","820","852","833","909","1066",
"서울특별시","대전광역시","여자","25 - 29세","이동자수[명]","명","1120","1027","1104","1107","1099","1008","970","1019","1087","1171",
"서울특별시","대전광역시","여자","30 - 34세","이동자수[명]","명","1104","1057","1068","966","904","756","708","678","626","703",
"서울특별시","대전광역시","여자","35 - 39세","이동자수[명]","명","618","625","597","620","531","502","502","439","461","415",
"서울특별시","대전광역시","여자","40 - 44세","이동자수[명]","명","427","385","414","428","338","299","300","298","288","260",
"서울특별시","대전광역시","여자","45 - 49세","이동자수[명]","명","351","301","303","315","289","292","278","240","232","229",
"서울특별시","대전광역시","여자","50 - 54세","이동자수[명]","명","376","326","319","302","264","219","236","244","226","250",
"서울특별시","대전광역시","여자","55 - 59세","이동자수[명]","명","303","279","272","292","274","274","276","221","244","187",
"서울특별시","대전광역시","여자","60 - 64세","이동자수[명]","명","215","174","193","215","190","194","195","195","209","194",
"서울특별시","대전광역시","여자","65 - 69세","이동자수[명]","명","133","132","118","141","133","127","119","115","139","151",
"서울특별시","대전광역시","여자","70 - 74세","이동자수[명]","명","119","89","120","115","88","94","100","84","94","81",
"서울특별시","대전광역시","여자","75 - 79세","이동자수[명]","명","90","103","96","97","85","90","91","67","62","63",
"서울특별시","대전광역시","여자","80세이상","이동자수[명]","명","175","161","175","160","166","133","141","123","141","167",
"서울특별시","울산광역시","남자","0 - 4세","이동자수[명]","명","121","121","160","116","119","95","76","71","64","47",
"서울특별시","울산광역시","남자","5 - 9세","이동자수[명]","명","74","46","86","76","57","50","42","51","44","32",
