시도별,성별,"연령(5세,각세)별",2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,0세,149,96,130,95,88,88,71,76,52,38
서울특별시,남자,1세,12,10,9,5,10,10,6,5,3,3
서울특별시,남자,2세,9,4,6,16,3,5,2,1,5,3
서울특별시,남자,3세,5,4,4,7,10,6,3,5,4,1
서울특별시,남자,4세,7,8,5,5,5,2,4,3,2,2
서울특별시,남자,5세,4,7,5,2,4,4,4,4,1,1
서울특별시,남자,6세,2,4,1,8,0,7,4,5,3,4
서울특별시,남자,7세,5,2,2,3,3,4,2,4,0,2
서울특별시,남자,8세,1,4,5,5,1,3,1,3,1,2
서울특별시,남자,9세,3,6,0,3,2,1,1,3,0,1
서울특별시,남자,10세,6,4,2,4,3,3,3,1,5,4
서울특별시,남자,11세,3,3,2,4,5,0,4,1,3,4
서울특별시,남자,12세,4,8,10,6,7,3,3,1,2,4
서울특별시,남자,13세,5,6,5,2,5,3,7,5,6,9
서울특별시,남자,14세,12,9,7,1,2,2,8,2,5,7
서울특별시,남자,15세,14,11,13,5,6,5,4,8,4,7
서울특별시,남자,16세,14,14,19,14,11,17,10,11,6,12
서울특별시,남자,17세,20,19,19,17,15,9,15,6,8,12
서울특별시,남자,18세,18,12,17,14,18,16,14,16,11,13
서울특별시,남자,19세,16,26,19,22,14,14,17,18,10,11
서울특별시,남자,20세,14,23,28,17,25,16,20,23,12,11
서울특별시,남자,21세,25,20,21,16,13,21,21,24,19,21
서울특별시,남자,22세,27,33,31,26,32,27,18,13,21,12
서울특별시,남자,23세,25,37,20,37,35,24,25,35,14,21
서울특별시,남자,24세,31,40,24,19,29,29,30,20,31,28
서울특별시,남자,25세,34,34,34,33,28,33,22,30,37,30
서울특별시,남자,26세,36,31,22,39,37,30,32,34,33,36
서울특별시,남자,27세,28,32,34,27,44,29,35,35,33,33
서울특별시,남자,28세,35,47,32,37,42,32,34,31,30,46
서울특별시,남자,29세,57,53,42,42,36,29,32,26,37,50
서울특별시,남자,30세,42,47,46,37,30,40,28,34,31,30
서울특별시,남자,31세,63,54,56,39,62,34,30,21,44,36
서울특별시,남자,32세,70,77,58,38,52,41,31,49,40,47
서울특별시,남자,33세,65,60,61,60,50,37,55,43,38,34
서울특별시,남자,34세,65,64,54,52,59,48,53,45,43,40
서울특별시,남자,35세,67,70,70,67,58,56,39,41,53,38
서울특별시,남자,36세,81,82,70,70,63,67,61,63,58,44
서울특별시,남자,37세,83,69,71,59,71,59,55,52,59,49
서울특별시,남자,38세,98,93,70,73,66,59,64,75,73,70
서울특별시,남자,39세,100,103,91,73,93,80,73,68,59,82
