행정구역,성별,연령별,2000 년,2001 년,2002 년,2003 년,2004 년,2005 년,2006 년,2007 년,2008 년,2009 년,2010 년,2011 년,2012 년,2013 년,2014 년,2015 년,2016 년,2017 년,2018 년,2019 년,2020 년,2021 년
서울특별시,남자,0세,63448,60130,52419.5,49249.5,48690,45731,43794.5,46163.5,46656,43990.5,43612.5,43971,44152,42677,40205.5,39910.5,38060.5,33844.5,29900,27485,24862,22768.5
서울특별시,남자,1세,64118.5,63514.5,59757,52301.5,49527,48960.5,45849,44070.5,46445.5,46993,44161.5,43645,44270.5,44564,42989,40332,39788,37816,33636.5,29780,27365.5,24677.5
서울특별시,남자,2세,65494.5,62270,61383,57915.5,50993,48508.5,47772.5,44622.5,42875,45238.5,45588,42611,42043,42722.5,43206,41542,38639,38174.5,36261,32379.5,28930.5,26502.5
서울특별시,남자,3세,66815.5,63777.5,60292,59802,56860,50131,47496.5,46747,43586,41941.5,44097.5,44359,41540.5,41054,41803.5,42001.5,40091.5,37270.5,36734,35036,31412.5,27972.5
서울특별시,남자,4세,68551,65290.5,62231.5,59199,59043.5,56179,49421.5,46800.5,45988.5,42928,41131.5,43163,43513.5,40772,40301.5,40871.5,40837,39024.5,36300.5,35840.5,34341,30671.5
서울특별시,남자,5세,70588,67441.5,64058.5,61190,58479.5,58420,55519,48868.5,46128.5,45330,42221.5,40381,42494.5,42801.5,40061,39493.5,39858,39866,38102,35562.5,35298,33693.5
서울특별시,남자,6세,71267.5,69792.5,66604,63577.5,60965.5,58335,58178.5,55210.5,48577.5,45912.5,44918,41759.5,39984,41907.5,42126,39365,38635,38988.5,38937,37378.5,35069.5,34622.5
서울특별시,남자,7세,71513.5,70370,68741.5,65743,62992,60503,57849.5,57687.5,54675,48062.5,45227.5,44187,41096,39266.5,41275.5,41492,38613,37967.5,38323,38379.5,37015,34590
서울특별시,남자,8세,71134,71046,69738.5,68230,65506,62792,60220.5,57609,57419,54409.5,47646,44723,43687.5,40638.5,38930,40785.5,40807,38048,37437,37838.5,38019,36545.5
서울특별시,남자,9세,67987,70843,70653.5,69505.5,68134,65451.5,62689.5,60042,57349,57275.5,54137,47223,44297,43305,40329.5,38547.5,40257,40345.5,37585,37025.5,37572,37619.5
서울특별시,남자,10세,64863,67949,70817,70650,69626.5,68410,65592,62675,60014,57293.5,56990,53779,46858,43946,43010.5,39975.5,38162,39929,39935.5,37253.5,36805,37237.5
서울특별시,남자,11세,65065,65143.5,68226,71165,71067.5,70008,68628,65762,62764.5,60075.5,57210.5,56765.5,53526.5,46616,43717,42643.5,39535.5,37818.5,39580,39645,37088,36511
서울특별시,남자,12세,65639,65762,65786,68972.5,71946,71737,70619.5,69210,66238.5,63249.5,60414,57304.5,56748,53469.5,46593,43675.5,42464,39395,37741,39597,39744.5,37083.5
서울특별시,남자,13세,66150.5,65477.5,65491,65600,68833,71809.5,71607,70524,69077.5,66097,62999,60049,56883,56335,53131.5,46227,43208,42041.5,39047,37447.5,39330,39390.5
서울특별시,남자,14세,69762,66326,65618.5,65748.5,65906.5,69008.5,71896.5,71759.5,70663,69203.5,66037.5,62805,59841.5,56670.5,56153,52909.5,45915.5,42893,41784.5,38871.5,37313,39121
서울특별시,남자,15세,72705.5,70195.5,66717,66122,66276,66316.5,69475,72437.5,72240,71184,69547.5,66123,62702.5,59691,56666.5,56147,52744.5,45759.5,42781.5,41721.5,38868,37203.5
서울특별시,남자,16세,78291.5,71950,69511.5,66206,65686,65832,65900,69177,72259.5,72135,70862.5,69065,65603.5,62235,59379,56314,55583,52202,45311,42394.5,41393.5,38441.5
서울특별시,남자,17세,87730.5,77662,71294.5,68958,65799,65462,65666,65786.5,69047.5,72125.5,71859,70539.5,68774.5,65306,62003.5,59119.5,55974.5,55245.5,51838.5,45020,42148.5,41043.5
