age00,age05,age10,age15,age20,age25,age30,age35,age40,age45,age50,age55,age60,age65,age70,age75,age80,age85,age90,age95,age100
3043329,2677797,2441973,1796408,1480210,1435917,1215495,1107542,1011863,742096,692899,565581,449277,260726,152614,61309,54164,16824,3969,1178,216
3402283,2872531,2603016,2397164,1755496,1440088,1390331,1169447,1055069,949091,681082,616480,482000,359902,191457,99773,34296,12145,2441,388,84
4628509,3462613,2860913,2360185,2187728,1864055,1505884,1424482,1149798,1014081,877001,610952,530269,390849,268824,126947,55623,8451,2093,235,29
4680469,4461962,3397732,2800649,2278262,2177780,1847533,1483021,1385886,1100999,950020,796206,532867,435969,297333,181329,70632,15177,1489,227,15
4508290,4570647,4402565,3290188,2700203,2235584,2171497,1833503,1443811,1329736,1035441,868681,698335,442410,336007,203485,100713,21412,2986,170,15
4513804,4452095,4528364,4266745,3177280,2610579,2200034,2132902,1789507,1391444,1258528,953191,770422,585139,346912,234190,116258,44045,6621,579,18
3995229,4468306,4420889,4388215,4144794,3082447,2584057,2201874,2105022,1740860,1323357,1169160,854798,655594,461191,243963,136776,53208,14417,1382,66
3848832,3965530,4445520,4405965,4317945,4135051,3077948,2581613,2177246,2049843,1665247,1241990,1063048,738094,524727,327582,148184,67004,19395,3455,187
3118257,3830882,3968281,4450941,4409424,4308894,4128682,3042647,2559585,2138356,1985112,1580819,1150615,942670,609463,387994,203866,73246,23872,4389,421
3489421,3110323,3830700,3969085,4445157,4396636,4287163,4095216,3003963,2507195,2072923,1896753,1480378,1039527,799891,467848,256623,108137,28794,6128,659
3171607,3486741,3108715,3840162,3965712,4475647,4395703,4270992,4059762,2959610,2447665,1998995,1793164,1359299,904206,632176,317921,140014,42906,7353,886
2514358,3171557,3483202,3104817,3797361,3979793,4481317,4399434,4244700,4011801,2904443,2378474,1913342,1669743,1211229,741734,448010,178311,55793,10629,1019
2288938,2516264,3172439,3497147,3064564,3710006,3909888,4411872,4380179,4206121,3951343,2839679,2299124,1812997,1521779,1033569,559752,273797,78843,15700,1637
2256260,2276376,2471657,3208909,3495576,3282339,3804103,3939477,4323035,4362929,4228859,3863122,2774918,2123701,1750328,1340851,797470,365278,131172,24090,2637
1897011,2256802,2276782,2476476,3216244,3500050,3282425,3797414,3924934,4293910,4315516,4161183,3774566,2679140,1998091,1562555,1083829,540103,184909,42896,4347
1739028,1898929,2258185,2286361,2493012,3229368,3506005,3282140,3787438,3902569,4251975,4252973,4074079,3655637,2534509,1799168,1282070,750788,283302,63798,8044
