DATAFLOW,MEASURE: Measure,SEX: Sex,AGE: Age,TSEST: Adjustment Type,REGION: Region,FREQ: Frequency,TIME_PERIOD: Time Period,OBS_VALUE,UNIT_MEASURE: Unit of Measure,UNIT_MULT: Unit of Multiplier,OBS_STATUS: Observation Status,OBS_COMMENT: Observation Comment,DECIMALS: Decimals
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-02,2324.666127,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-03,2344.952759,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-04,2346.5582455,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-05,2337.4126552,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-06,2324.5439398,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-07,2334.3454546,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-08,2330.5265019,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-09,2331.9715776,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-10,2332.8373445,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-11,2335.5571074,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1978-12,2391.033638,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-01,2285.7062595,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-02,2357.7647802,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-03,2381.1311561,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-04,2368.7325726,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-05,2341.7472373,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-06,2353.410512,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-07,2359.6479727,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-08,2337.3654712,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-09,2398.273652,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-10,2410.9880853,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-11,2420.6839139,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1979-12,2455.4445377,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-01,2359.4339343,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-02,2451.2240755,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-03,2497.0073441,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-04,2462.4206705,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-05,2473.5970543,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-06,2484.601052,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-07,2500.1707137,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-08,2483.4189942,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-09,2534.659247,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-10,2490.0004379,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-11,2500.5098576,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1980-12,2542.868893,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-01,2422.9557982,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-02,2499.0439858,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-03,2548.0821011,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-04,2535.341655,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-05,2520.9089503,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-06,2510.7650677,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-07,2528.1628825,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-08,2515.9345001,NUM: Number,3: Thousands,,,1: One
ABS:LF(1.0.0),M9: Labour Force,2: Females,1599: Total (age),10: Original,AUS: Australia,M: Monthly,1981-09,2587.1147736,NUM: Number,3: Thousands,,,1: One
