Macrotrends Data Download

Australia Population Density 1950-2022
Original Source: United Nations - World Population Prospects

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.


ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, Population per Square KM, Annual % Change
1950-12-31,1.056315
1951-12-31,1.0876619,2.97
1952-12-31,1.115172,2.53
1953-12-31,1.1392474,2.16
1954-12-31,1.1630428,2.09
1955-12-31,1.1897148,2.29
1956-12-31,1.2181297,2.39
1957-12-31,1.2458231,2.27
1958-12-31,1.2728157,2.17
1959-12-31,1.3002709,2.16
1960-12-31,1.3288147,2.2
1961-12-31,1.3571424,2.13
1962-12-31,1.3837536,1.96
1963-12-31,1.4102913,1.92
1964-12-31,1.4379657,1.96
1965-12-31,1.4673969,2.05
1966-12-31,1.4975256,2.05
1967-12-31,1.5254844,1.87
1968-12-31,1.5536649,1.85
1969-12-31,1.5848082,2
1970-12-31,1.6270089,2.66
1971-12-31,1.6785253,3.17
1972-12-31,1.7181152,2.36
1973-12-31,1.7456316,1.6
1974-12-31,1.7714763,1.48
1975-12-31,1.7938844,1.26
1976-12-31,1.8134186,1.09
1977-12-31,1.8334791,1.11
1978-12-31,1.854464,1.14
1979-12-31,1.8757414,1.15
1980-12-31,1.8997422,1.28
1981-12-31,1.9286433,1.52
1982-12-31,1.9594386,1.6
1983-12-31,1.9871643,1.41
1984-12-31,2.012535,1.28
1985-12-31,2.0391724,1.32
1986-12-31,2.0684464,1.44
1987-12-31,2.1003471,1.54
1988-12-31,2.1347931,1.64
1989-12-31,2.1697598,1.64
1990-12-31,2.2022372,1.5
1991-12-31,2.2310548,1.31
1992-12-31,2.2557819,1.11
1993-12-31,2.277614,0.97
1994-12-31,2.3000902,0.99
1995-12-31,2.3256023,1.11
1996-12-31,2.3525807,1.16
1997-12-31,2.3782104,1.09
1998-12-31,2.4029374,1.04
1999-12-31,2.428673,1.07
2000-12-31,2.4567139,1.15
2001-12-31,2.4864483,1.21
2002-12-31,2.5158624,1.18
2003-12-31,2.5446892,1.15
2004-12-31,2.5738909,1.15
2005-12-31,2.6057561,1.24
2006-12-31,2.6439024,1.46
2007-12-31,2.6908973,1.78
2008-12-31,2.7447706,2
2009-12-31,2.7981238,1.94
2010-12-31,2.8444054,1.65
2011-12-31,2.8880505,1.53
2012-12-31,2.9361353,1.66
2013-12-31,2.9855478,1.68
2014-12-31,3.0317675,1.55
2015-12-31,3.0770649,1.49
2016-12-31,3.1255669,1.58
2017-12-31,3.176545,1.63
2018-12-31,3.2267821,1.58
2019-12-31,3.2756038,1.51
2020-12-31,3.3160214,1.23
2021-12-31,3.3484501,0.98
2022-12-31,3.3815617,0.99
2023-12-31,3.4153675,1
2024-12-31,3.4490018,0.98
2025-12-31,3.4824038,0.97
2026-12-31,3.5154709,0.95
2027-12-31,3.5481708,0.93
2028-12-31,3.580444,0.91
2029-12-31,3.6121244,0.88
2030-12-31,3.6431485,0.86
2031-12-31,3.6735314,0.83
2032-12-31,3.7032181,0.81
2033-12-31,3.7322471,0.78
2034-12-31,3.7607635,0.76
2035-12-31,3.7887342,0.74
2036-12-31,3.8161327,0.72
2037-12-31,3.8430975,0.71
2038-12-31,3.8696136,0.69
2039-12-31,3.8956649,0.67
2040-12-31,3.9213178,0.66
2041-12-31,3.9465741,0.64
2042-12-31,3.9715352,0.63
2043-12-31,3.996243,0.62
2044-12-31,4.020638,0.61
2045-12-31,4.0446826,0.6
2046-12-31,4.0683414,0.58
2047-12-31,4.0916024,0.57
2048-12-31,4.1144144,0.56
2049-12-31,4.1367554,0.54
2050-12-31,4.1586364,0.53
2051-12-31,4.180071,0.52
2052-12-31,4.2011479,0.5
2053-12-31,4.2219805,0.5
2054-12-31,4.2425345,0.49
2055-12-31,4.2627057,0.48
2056-12-31,4.2825192,0.46
2057-12-31,4.3021639,0.46
2058-12-31,4.3215749,0.45
2059-12-31,4.3406534,0.44
2060-12-31,4.3594663,0.43
2061-12-31,4.3780861,0.43
2062-12-31,4.3964913,0.42
2063-12-31,4.4146374,0.41
2064-12-31,4.4325636,0.41
2065-12-31,4.4502959,0.4
2066-12-31,4.4678314,0.39
2067-12-31,4.4850774,0.39
2068-12-31,4.5021608,0.38
2069-12-31,4.5191493,0.38
2070-12-31,4.5358558,0.37
2071-12-31,4.5521497,0.36
2072-12-31,4.568055,0.35
2073-12-31,4.5836732,0.34
2074-12-31,4.5990232,0.33
2075-12-31,4.6140582,0.33
2076-12-31,4.6287049,0.32
2077-12-31,4.6428895,0.31
2078-12-31,4.6566478,0.3
2079-12-31,4.6700254,0.29
2080-12-31,4.6830954,0.28
2081-12-31,4.6958237,0.27
2082-12-31,4.7081233,0.26
2083-12-31,4.7200415,0.25
2084-12-31,4.73174,0.25
2085-12-31,4.7434165,0.25
2086-12-31,4.7549288,0.24
