"","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"15",1.75,1.59,1.59,1.71,2.1,2.4,2.3,2.4,2.5,2.3,2.1,2,2,2,1.8,1.7,1.6,1.5,1.9,1.3,1.6,1.6,1.3,1.5,1.7,1.4,2.1,1.8,2.1,2.1,2,2.3,2.3,2.5,2.5,2.6,2.3,3,3,3.4,3.4,3.5,4.3,4.2,4.3,4.1,4.3,4.4,4.2,5.1,5.9,6.4,6.6,6.2,5.6,5.3,4.4,4.3,4.1,3.9,3.6,3.7,3.8,3,2.9,2.9,2.8,2.5,2.9,2.8,2.8,2.5,2.7,3.2,2.8,3,2.7,3.2,3.3,2.9,3.20389,2.91073766345442,2.83778867334439,2.68683300880013,2.87477367623693,2.63361961753991,3.34230940444133,3.40505581520828,3.6666206826449,3.11186172697546,2.85714285714286,2.93125660437445,2.70142352641351,2.38414221300258,2.14875679071394
"16",6.85,6.6,6.86,7.48,8.1,8.7,8.2,9,9.3,8.8,8.1,7.7,6.7,6.6,6.2,7,6.5,6.1,6.1,5.9,5.1,5.6,5.8,6.2,5.8,5.8,7.1,8.3,7.2,8.8,9.6,9.7,9.9,9.5,10.3,10.9,11.5,11.8,14.1,12.2,15.2,14.8,15.5,16.7,17.5,17.4,18,17.4,17.1,18.8,21.2,23.5,22.7,20.7,19.2,15.9,14.3,12.9,12.8,12,12.2,11.8,11.6,10.3,9.9,9.1,8.6,8.9,9,8.4,8.9,9,8.6,9,9.4,8.8,8.3,8.1,7.6,7.5,7.280459,7.42457502710565,7.16572359223124,6.71945152287344,7.0355980258322,6.68675626333502,6.81865839461449,7.95617958853327,7.59407777432884,7.03029430812406,6.63604969917049,6.38533747984335,5.62736556452189,4.90386412988769,4.47697555429221
"17",18.29,19,19.67,21.71,22.3,22.5,24.6,24.6,25.1,22.5,21.3,19.3,19.3,18.2,19.2,18.4,18.7,17.8,18,16.5,16.9,16.1,17.7,15.7,16.2,17.9,20.8,22.3,25.2,25.6,28.3,29.7,29.2,29.1,31.6,33.2,33.6,33.4,36.4,36.7,39,37.8,42.9,40,43.7,45.2,43.2,45.5,44,46.7,51.9,53.9,48.3,44.2,37.5,32.3,30,27.2,26.4,24.5,25,25.3,24.3,21.9,20.8,20.4,19.3,18.4,18.9,20.4,19.9,19.3,19.2,18.6,18.8,19.7,17.8,17.6,16.9,15.9,15.787512,14.8132873085318,14.1834310538119,14.6175697160123,15.1583472366265,14.1384059859286,15.0420790122392,15.4391688238006,16.2289298314387,13.9123613933754,13.6509292886135,14.3023647699826,12.8498953418242,9.48777279984246,9.69185417682862
"18",39.93,41.89,42.16,42.54,44.6,45.1,47.3,49.7,44.8,45.8,41.3,39.9,38.4,36.6,35.4,39,38.3,38.3,36.7,35.3,36.5,36.3,33.8,32.5,33.8,36.9,46,48.3,50.6,54.8,57.1,60.5,59.9,62,63.4,65.3,67.7,70.5,69.7,70.9,76.5,71.1,73.6,77.6,70.7,75.8,74.5,75.4,75.9,78.3,84.5,81.8,72.2,65.9,60.4,51.9,46.3,43.7,40.4,40.2,40.4,39.2,38,35.2,32.9,33.2,31.1,28.9,29.2,31.5,31.7,31.3,29.3,28.1,28.3,28.5,28.3,26.7,26.1,24.7,24.886759,24.7110038823293,22.090260594773,23.3821044631855,23.1780185066532,23.0602036562854,23.8157341795998,25.6733596221104,24.1231857526752,23.0018457408132,22.3886358372578,22.7301294674655,20.2440814702513,18.1559421331159,16.0463668151554
"19",67.58,65.22,66.82,69.05,72.2,69.9,70.5,72,69.4,71,64.3,59.5,58.4,55.6,58.3,59.1,61.9,59.5,60.1,57.4,59.9,58.8,61.8,55.8,59,66.3,78.2,82.7,84.9,86.2,95.5,98,99.3,99.7,106.3,106.9,111.8,111.1,115.2,111.7,115.1,116.6,107.1,106.2,105.7,98.2,103.1,104.3,104.6,105.8,111.6,101.7,91.1,86.2,80,72.8,66.6,61.2,57.1,54.4,55.5,53.6,52.7,47.4,46.3,45.7,43.1,42.3,40.1,42.1,42.6,43.6,41.5,41.7,41.1,39.4,39.7,37.6,38,35.8,37.243765,36.0613842285501,33.5649532981533,32.7880781209069,34.1083244358254,34.7407646489246,36.4538628544226,38.2657319312302,35.9175819770705,34.9124510361914,33.5812224029747,33.0474595961322,30.3610706913472,27.910242144863,26.1027359017309
"20",91.4,89.5,88,89.9,93.6,93,90.6,93.3,88.9,87.1,82.3,74.4,73,70.1,73.5,75.7,74.8,78,76.8,79.6,81.8,83.4,88.8,82.8,86.4,94.8,110.8,113.2,117.6,118.8,126,141.1,142,142.7,145,149.7,153.5,154.1,157.2,157.6,160.1,153.6,152.1,135.2,129.5,129.6,123.2,129.9,130,126.2,136.1,124.9,110.3,105.6,99.9,93.8,86,80.1,74.6,71.2,71,69.6,68.4,61.1,60.6,58.5,55.5,54.7,52.1,53.3,50.7,53,52.2,49.6,48.1,47.5,45.9,44.1,44.6,41.4,43.546435,41.9591297516318,39.5964161548871,39.2939123037321,40.8562673656993,40.1236761674604,44.4685002919937,44.7580254097566,43.180971638376,41.5352635293965,41.243037462208,40.7566912728894,38.3305562378433,35.1575586780443,33.6958058586871
"21",120.5,120.8,116.2,113.1,116.1,113.6,117.9,116.6,108.5,108.3,100.9,92.4,90.8,89,87.9,91.1,96,94.3,98.8,97.6,108.3,106.8,116.8,107.9,114.6,130,147.5,145.4,148.9,156.6,159.3,170.6,181.4,179.8,190.6,193,197.8,197.2,198.8,201.4,207.6,195,184.9,175.6,153.2,152.8,157.3,150.6,155.2,153.6,155.3,147.5,133.2,125.7,117.5,111.8,106.7,100.6,93.9,89.1,89.4,85.9,85.5,77.5,74.9,70.7,67.7,64.6,63.3,65.3,62.2,60.9,58.4,58,55.7,53.3,51.6,49.6,50.6,48.2,48.458804,49.2049869653183,46.3802502516987,45.9872713154667,46.3730830590569,46.1132702116229,50.9217149800382,51.3181768198812,48.1953290870488,47.0405004556059,44.7942655234863,45.1796286972538,44.6074492625904,40.6129723865368,40.2361786196871
"22",141.6,143,139.6,133.2,131.3,134.7,131.3,133.2,129,124.7,115.9,105.7,104.8,103,106.3,106.7,111.2,113.1,113.4,116.7,128.2,131.6,142.1,135.2,138.2,158,175.6,169.9,176.9,184.3,187,197.9,202.4,208.6,218.4,225,233.7,231.8,233.8,234.5,243.1,235.1,220.7,196.8,196.8,174.9,177.4,185.7,172.6,177.9,180.5,166.9,156.2,149.9,133.9,129.9,122.4,119,111,110,109.1,105.5,103,95.4,92.8,89,82.3,80.6,77.2,77.7,74.6,72.8,69,67.4,65.1,62.7,60.2,58.8,56.9,54.6,58.100409,54.4467307394955,53.3190822819595,52.2749273959342,52.9949311058756,52.9379623402824,57.643340364674,60.073875083949,56.7129401078178,54.884111304797,51.3634925656438,52.1196391051786,52.2337580131686,47.7354946869525,47.7257042474434
"23",160,158.2,160.3,154.5,149,145.9,152.3,146.5,141.1,138.2,123.6,115,113.4,112,114.1,118.2,123.3,123.4,126.9,129.9,143.1,144.3,156.4,149.9,157.6,182.2,196.5,188.2,191,199.9,204.4,215.2,217.1,222.1,234.9,241.2,252.8,248.6,251.5,251.7,260.2,246.8,247.1,221.7,210,207.4,198.1,201.8,208.4,191.7,201.3,184.6,172.3,168.9,153.1,145.7,142.4,134,127.9,127.9,130,121.5,120.8,114.3,112,105.3,99.9,94.5,92.3,93.1,89.1,88.7,81.8,77.9,77.1,72.9,70.4,67.6,66.8,63.5,65.568613,63.1745122391645,61.0469872847375,61.2143760586404,60.966279808303,60.9511611070892,65.3146557888357,64.36832915414,63.1071385061267,61.4252177398319,58.9734072335848,59.094595590946,57.2278384435649,53.1442272621276,54.5040626778557
"24",166.6,171.2,160.8,168.3,165,151.8,150.2,157.3,148.9,145.7,133.8,120.3,119.3,119.2,119.7,126.9,129.4,130.8,133.4,137.5,147.6,148.6,163.6,158.4,164.1,189.4,198.7,197.4,199.4,203.4,205.4,215.8,221.9,224.3,233.5,246.4,248,253,258.6,257.7,260.9,255.8,241.2,234.8,219.9,210.4,215.7,212.7,213,214.5,204.8,195,183.6,177.8,165.7,160.3,153.2,147.4,141.1,139.8,140.9,139.5,136.7,130.3,127.1,123,116.4,110.9,106.5,107.7,102,102.5,95.8,93.9,86.1,86.3,80.6,79.3,75.4,74.2,74.852424,73.7817150086454,71.419651393252,68.7848790353238,70.8900485348319,69.7961835619147,74.4250267350724,75.306088954538,71.2927397519048,70.9729516560147,67.9897831096567,68.0418436195834,63.8904017763626,60.7340366205038,61.7063272566361
